Sample ID,Family ID,Sex,Population,Superpopulation,Repository,BaseSpace link,ENA link,Coriell link,Affected,References
HG02381,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284625/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955405,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02381,NA,1kg_phase3;1kg_GRCh38
HG02383,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284626/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955455,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02383,NA,1kg_phase3;1kg_GRCh38
HG02384,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283461/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955511,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02384,NA,1kg_phase3;1kg_GRCh38
HG02385,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283462/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955421,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02385,NA,1kg_phase3;1kg_GRCh38
HG02386,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282569/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955441,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02386,NA,1kg_phase3;1kg_GRCh38
HG02388,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282570/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955465,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02388,NA,1kg_phase3;1kg_GRCh38
HG02391,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282571/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955503,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02391,NA,1kg_phase3;1kg_GRCh38
HG02409,NA,M,CDX,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283463/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955500,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02409,NA,1kg_phase3;1kg_GRCh38
HG00448,SH016,M,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281768/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955522,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00448,NA,1kg_phase3;1kg_GRCh38
HG00449,SH016,F,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281769/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955416,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00449,NA,1kg_phase3;1kg_GRCh38
