Sample ID,Family ID,Sex,Population,Superpopulation,Repository,BaseSpace link,ENA link,Coriell link,Affected,References
NA19007,NA,M,JPT,EAS,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955372,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595664",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19007,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA10847,1334,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955336,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595628",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA10847,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA12145,1334,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955344,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595636",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA12145,NA,GeT-RM PGx 28;1kg_phase3
NA07000,1340,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955328,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595620",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA07000,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA07019,1340,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955329,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595621",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA07019,NA,GeT-RM PGx 28;1kg_phase3
NA07029,1340,M,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955330,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595622",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA07029,NA,GeT-RM PGx 28;1kg_phase3
NA07056,1340,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955332,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595624",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA07056,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA06991,1341,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955327,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595619",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA06991,NA,GeT-RM PGx 28;1kg_phase3
NA07055,1341,F,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955331,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595623",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA07055,NA,GeT-RM PGx 28;1kg_phase3
NA10851,1344,M,CEU,EUR,NIGMS,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955337,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595629",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA10851,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
